function_name,file_path,module,line_number,signature,doc_comment,doc_first_line,semantic_category
cluster_color,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,33,function(cluster_id),"#' Get color for a cluster ID
#'
#' @param cluster_id Integer cluster ID (1-based)
#' @return Hex color string
#' @export",Get color for a cluster ID,export
validate_inputs,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,44,"function(columns, data)","#' Validate clustering inputs before computation
#' @param columns Character vector of selected column names
#' @param data Data frame to validate against
#' @return List with $valid (logical) and $error (app_error or NULL)
#' @export",Validate clustering inputs before computation,"validation, export, filtering, error_handling"
run_clustering,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,105,NA,"#' Run clustering analysis
#'
#' Dispatches to the appropriate algorithm based on user settings.
#' - kmeans + euclidean: stats$kmeans
#' - kmeans + manhattan: cluster$pam (partitioning around medoids)
#' - hierarchical: stats$dist + stats$hclust + stats$cutree
#' - dbscan: dbscan$dbscan (n_clusters is ignored, eps auto-computed)
#'
#' @param data Data frame (already cleaned and scaled)
#' @param columns Character vector of measurement column names
#' @param n_clusters Integer, number of clusters (ignored for DBSCAN)
#' @param algorithm Character, one of ""kmeans"", ""hierarchical"", ""dbscan""
#' @param metric Character, distance metric: ""euclidean"" or ""manhattan""
#' @param method Character, linkage method for hierarchical clustering
#'   (e.g. ""ward"", ""single"", ""complete"", ""average"", ""mcquitty"",
#'   ""median"", ""centroid""). Ignored for other algorithms.
#' @return List with $success, $result or $error
#' @export",Run clustering analysis,"computation, export, transformation, error_handling, data_prep"
cluster_error_parser,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,180,NA,"#' Error parser for clustering errors
#'
#' @param error_msg Character, the original error message
#' @param operation_name Character, name of the operation
#' @return Character, user-friendly error message
#' @export",Error parser for clustering errors,"export, error_handling"
validate_clustering_inputs,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,243,NA,NA,NA,undocumented
compute_cluster_summary,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,287,"function(num_data, clusters)","#' Compute per-cluster variable means
#'
#' @param num_data Numeric matrix or data frame
#' @param clusters Integer vector of cluster assignments
#' @return List with means matrix, overall_mean, cluster_ids,
#'   n_per_cluster
#' @export",Compute per-cluster variable means,"computation, export"
compute_cluster_stats,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,319,NA,NA,NA,undocumented
run_kmeans,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,373,"function(num_data, n_clusters, metric)",NA,NA,undocumented
run_hierarchical,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,406,NA,NA,NA,undocumented
run_dbscan,/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R,app/logic/cluster,432,"function(num_data, metric)",NA,NA,undocumented
